Candidate	Event	E_Char_Start	E_Char_end	E_Word_Index	Remedy	R_Char_Start	R_Char_end	R_Word_Index	Is_inverted	Label
a pessoa aqui vai ter que apelar pra injeção de betametasona cataflam em gel e beserol pois dor insuportável .	cataflam	61	68	11	dor	92	94	17	0	-1
a pessoa aqui vai ter que apelar pra injeção de betametasona cataflam em gel e beserol pois dor insuportável .	betametasona	48	59	10	dor	92	94	17	0	-1
a pessoa aqui vai ter que apelar pra injeção de betametasona cataflam em gel e beserol pois dor insuportável .	beserol	79	85	15	dor	92	94	17	0	-1
fui tomar a vacina justo no final de semana de calor blz agora fico de molho em casa com esse solzão lá fora .	vacina	12	17	3	calor	47	51	10	0	-1
eu bebi tanta cafeína hoje que fui tomar refrigerante ainda há pouco e me deu dor de cabeça que maravilha .	cafeína	14	20	3	dor de cabeça	78	90	8749	0	-1
2 omeprazol hoje e essa dor não passa .	omeprazol	2	10	1	dor	24	26	5	0	-1
e pra piorar meu braço parece que vai cair por conta daquela vacina .	vacina	61	66	12	cair	38	41	8	1	-1
começar 2016 com azia sem ter ranitidina dale .	ranitidina	30	39	6	azia	17	20	3	1	-1
homem muito viril que tenha muita testosterona no corpo passar o suor do sovaco no teu buço .	testosterona	34	45	6	suor	65	68	11	0	-1
dor de cabeça acho que é falta de cafeina .	cafeina	34	40	8	dor de cabeça	0	12	8176	1	-1
um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	37	46	6	tremor	30	35	5	1	-1
principalmente pra alguém extremamente alérgica que com 20 anos só pode tomar paracetamol infantil pra dor .	paracetamol	78	88	12	dor	103	105	15	0	-1
eu preciso de glicose no meu sangue não aguento mais sentir dor .	glicose	14	20	3	dor	60	62	11	0	-1
alguem poderia me informar oq eu tomo pra passar a dor de dente ja q paracetamol	paracetamol	69	79	15	dor de dente	51	62	7460	1	-1
o que é diabetes diabetes mellitus é uma doença caracterizada pela elevação da glicose no sangue http fb me 5ac855ccj .	glicose	79	85	13	diabetes	8	15	3	1	-1
o que é diabetes diabetes mellitus é uma doença caracterizada pela elevação da glicose no sangue http fb me 5ac855ccj .	glicose	79	85	13	diabetes mellitus	17	33	33	1	-1
se não for o desavio do paracetamol com coma alcoólico eu não quero .	paracetamol	24	34	6	coma	40	43	8	0	-1
tem tanta cafeína no meu corpo que minhas perna tão tremendo vixi ainda bem que hoje não é dia de crise de ansiedade se não eu tava fodida .	cafeína	10	16	2	ansiedade	107	115	22	0	-1
tem tanta cafeína no meu corpo que minhas perna tão tremendo vixi ainda bem que hoje não é dia de crise de ansiedade se não eu tava fodida .	cafeína	10	16	2	tremendo	52	59	10	0	-1
muito bom fluoxetina mas feio d sentir enjoo .	fluoxetina	10	19	2	enjoo	39	43	7	0	-1
tava com dor de cabeça um tempão aí tomei café e puff passou quase smp culpa da falta de cafeína é incrível .	cafeína	89	95	19	dor de cabeça	9	21	12450	1	-1
to com a mesna sensação de qnd tive depressão profunda .	mesna	9	13	3	depressão	36	44	8	0	-1
dor de cabeça alguem traz um dipirona pfvr .	dipirona	29	36	6	dor de cabeça	0	12	8177	1	-1
2 pantoprazol pra nao me dar dor no estômago .	pantoprazol	2	12	1	dor	29	31	6	0	-1
uma colherzinha de café de bicarbonato de sodio e mta alada vc da uns burp e nunca mais ouve falar da dor .	bicarbonato	27	37	5	dor	102	104	21	0	-1
eu coloquei lidocaína no meu nariz porque tô sentindo muita dor nele e agora meu nariz tá todo dormente .	lidocaína	12	20	2	dor	60	62	10	0	-1
você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona	venlafaxina	55	65	9	depressão	36	44	6	1	-1
você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona	venlafaxina	55	65	9	ansiedade	24	32	4	1	-1
você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona	bupropiona	76	85	13	depressão	36	44	6	1	-1
você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona	bupropiona	76	85	13	ansiedade	24	32	4	1	-1
começar a tomar nimesulida pra ver se no dia da viagem eu não to morrendo de dor no joelho né .	nimesulida	16	25	3	dor	77	79	16	0	-1
topiramato estava segurando bem a minha dor de cabeça mas ontem tive por causa do maldito antipsicótico vou parar de tomar essa desgraça .	topiramato	0	9	0	dor de cabeça	40	52	13303	0	-1
acho que já disse isso mas bicarbonato de sódio umas gotinhas de limão tiram a azia igual mágica .	bicarbonato de sódio	27	46	1388	azia	79	82	15	0	-1
e o omeprazol pra dor de estômago .	omeprazol	4	12	2	dor	18	20	4	0	-1
a gente sente ansiedade tontura etc. o braço lascado por causa da glicose as pernas doloridas o sono desregulado a alergia macabra as mancha espalhdas no corpo .	glicose	66	72	12	tontura	24	30	4	1	-1
a gente sente ansiedade tontura etc. o braço lascado por causa da glicose as pernas doloridas o sono desregulado a alergia macabra as mancha espalhdas no corpo .	glicose	66	72	12	alergia	115	121	20	0	-1
a gente sente ansiedade tontura etc. o braço lascado por causa da glicose as pernas doloridas o sono desregulado a alergia macabra as mancha espalhdas no corpo .	glicose	66	72	12	sono	96	99	17	0	-1
a gente sente ansiedade tontura etc. o braço lascado por causa da glicose as pernas doloridas o sono desregulado a alergia macabra as mancha espalhdas no corpo .	glicose	66	72	12	ansiedade	14	22	3	1	-1
aquela dor na garganta ft necessidade de nicotina .	nicotina	41	48	7	dor	7	9	1	1	-1
que delicia essa morte com prednisona .	prednisona	27	36	5	morte	17	21	3	1	-1
a omeprazol causa depressão e não cura a azia veja .	omeprazol	2	10	1	depressão	18	26	3	0	-1
a omeprazol causa depressão e não cura a azia veja .	omeprazol	2	10	1	azia	41	44	8	0	-1
aff que bixa vo te que usa creme com uréia ácido glicólico ou ácido salicílico pra hidrata a pele to com alergia do inverno .	ácido	43	47	10	alergia	105	111	21	0	-1
aff que bixa vo te que usa creme com uréia ácido glicólico ou ácido salicílico pra hidrata a pele to com alergia do inverno .	creme	27	31	7	alergia	105	111	21	0	-1
aff que bixa vo te que usa creme com uréia ácido glicólico ou ácido salicílico pra hidrata a pele to com alergia do inverno .	ácido salicílico	62	77	77	alergia	105	111	21	0	-1
uma vez eu fiquei tão nervosa ansiedade a mil eu tomei 2 ritalina e disse que era dipirona pensa em um coração a mil e só pensava em morr .	dipirona	82	89	17	ansiedade	30	38	6	1	-1
uma vez eu fiquei tão nervosa ansiedade a mil eu tomei 2 ritalina e disse que era dipirona pensa em um coração a mil e só pensava em morr .	ritalina	57	64	12	ansiedade	30	38	6	1	-1
esse lítio pode até me salvar da depressão mas só ler a bula já deu crise de ansiedade .	lítio	5	9	1	depressão	33	41	7	0	-1
esse lítio pode até me salvar da depressão mas só ler a bula já deu crise de ansiedade .	lítio	5	9	1	ansiedade	77	85	17	0	-1
tomei meio vidro de dipirona se a merda dessa dor nao melhorar eu desisto .	dipirona	20	27	4	dor	46	48	9	0	-1
acho que entrarei em um coma de glicose .	glicose	32	38	7	coma	24	27	5	1	-1
nimesulida tira a inflamação mas me dá dor de cabeça dor abdominal e surdez temporária do ouvido direito .	nimesulida	0	9	0	inflamação	18	27	3	0	-1
nimesulida tira a inflamação mas me dá dor de cabeça dor abdominal e surdez temporária do ouvido direito .	nimesulida	0	9	0	dor abdominal	53	65	65	0	-1
nimesulida tira a inflamação mas me dá dor de cabeça dor abdominal e surdez temporária do ouvido direito .	nimesulida	0	9	0	surdez	69	74	13	0	-1
nimesulida tira a inflamação mas me dá dor de cabeça dor abdominal e surdez temporária do ouvido direito .	nimesulida	0	9	0	dor de cabeça	39	51	10838	0	-1
essa vidinha de tomar vacina toda semana e remédio todos os dias por causa dessa alergia está matando .	vacina	22	27	4	alergia	81	87	15	0	-1
muita azia e queimação comecei a tomar omeprazol todo dia de manhã melhorei uns 80 .	omeprazol	39	47	7	azia	6	9	1	1	-1
tomar dipirona ou ficar com dor eis a dúvida .	dipirona	6	13	1	dor	28	30	5	0	-1
dai tomo mais uma dose da vacina de alergia mas meu braço está doendo sem or eu vo	vacina	26	31	6	alergia	36	42	8	0	-1
hipnoterapia eu sofria de depressão profunda e dor crônica com morfina http youtu be	morfina	63	69	10	depressão	26	34	4	1	-1
hipnoterapia eu sofria de depressão profunda e dor crônica com morfina http youtu be	morfina	63	69	10	dor	47	49	7	1	-1
nossa que dor de cabeça sabe o q eu to precisando isso mesmo ibuprofeno e 8 horas de sono .	ibuprofeno	61	70	13	dor de cabeça	10	22	10903	1	-1
nossa que dor de cabeça sabe o q eu to precisando isso mesmo ibuprofeno e 8 horas de sono .	ibuprofeno	61	70	13	sono	85	88	18	0	-1
eu to tentando parar de me entupir de dipirona mas aí bate essas dor de cabeça que não dá pra assistir não dá pra jogar nem dormir vai se fo .	dipirona	38	45	8	dor de cabeça	65	77	9036	0	-1
kkkkkkkkkkkk agora vou tomar uma ondansetrona remédio pra náusea e vômito mesmo .	ondansetrona	33	44	5	náusea	58	63	8	0	-1
kkkkkkkkkkkk agora vou tomar uma ondansetrona remédio pra náusea e vômito mesmo .	ondansetrona	33	44	5	vômito	67	72	10	0	-1
ivernando não pretendo machucar ngm só passar abraços liberando oxitocina estimulando o pensamentoe assim a depressão .	oxitocina	64	72	9	depressão	108	116	15	0	-1
garota que não aguenta de dor no estômago e toma omeprazol como se fosse tic tac	omeprazol	49	57	10	dor	26	28	5	1	-1
ansiedade define cadê o efeito da sertralina ansiedade mesocorre .	sertralina	34	43	6	ansiedade	0	8	0	1	-1
ansiedade define cadê o efeito da sertralina ansiedade mesocorre .	sertralina	34	43	6	ansiedade	45	53	7	0	-1
50 gotas de dipirona daqui a pouco começo a sentir o calor que geral tá sentindo tb .	dipirona	12	19	3	calor	53	57	11	0	-1
50 gotas de dipirona daqui a pouco começo a sentir o calor que geral tá sentindo tb .	gotas	3	7	1	calor	53	57	11	0	-1
depois de quase 4 anos tomando vacina de alergia só preciso tomar as 4 doses q ainda tenho em casa e to livre .	vacina	31	36	6	alergia	41	47	8	0	-1
essa vitamina q minha ma fez ta me dando enjoo .	vitamina	5	12	1	enjoo	41	45	9	0	-1
epsyi96nxxu a medicina caseiro controlar depressão stress aumentar a glicose .	glicose	69	75	9	depressão	41	49	5	1	-1
que delicia no meio de toda essa confusão a filha da puta me aparece pra medir minha glicose .	glicose	85	91	17	confusão	33	40	7	1	-1
joelho e ombro fudido duas opções para aliviar a dor cerveja ou ibuprofeno .	ibuprofeno	64	73	12	dor	49	51	9	1	-1
não to sabendo lidar cm esse calor ainda tomei dipirona	dipirona	47	54	9	calor	29	33	6	1	-1
oq eu queria pedir pra deus alem de ter vc pra mim é q alguém invente uma vacina ou sla oq contra a renite e q eu n tenha alergia a gato .	vacina	74	79	17	alergia	122	128	29	0	-1
foi só terminar o omeprazol que essa maldita azia voltou .	omeprazol	18	26	4	azia	45	48	8	0	-1
nimesulida tomei essa semana também meu remédio pra dor de cabeça acabou gastrol	gastrol	73	79	12	dor de cabeça	52	64	10839	1	-1
nimesulida tomei essa semana também meu remédio pra dor de cabeça acabou gastrol	nimesulida	0	9	0	dor de cabeça	52	64	10839	0	-1
calor eu durmo menos como menos tomo mais paracetamol fico mais mal humorado .	paracetamol	42	52	8	calor	0	4	0	1	-1
calor local meloxicam .	meloxicam	12	20	2	calor	0	4	0	1	-1
sou a unica pessoa que tem alergia a penicilina cetoprofeno eu tenho que me foder mesmo porque não eh possível .	cetoprofeno	48	58	9	alergia	27	33	6	1	-1
sou a unica pessoa que tem alergia a penicilina cetoprofeno eu tenho que me foder mesmo porque não eh possível .	penicilina	37	46	8	alergia	27	33	6	1	-1
comece tomando nimesulida ou proflam q a dor alivia .	nimesulida	15	24	2	dor	41	43	7	0	-1
comece tomando nimesulida ou proflam q a dor alivia .	proflam	29	35	4	dor	41	43	7	0	-1
comprei óleo de rícino pra ajudar a melhorar esse meu projeto cagado de barba espero n terminar c diarreia .	óleo de rícino	8	21	7877	diarreia	98	105	18	0	-1
encher o rabo de cafeína pra ver se para a dor se cabeça .	cafeína	17	23	4	dor	43	45	10	0	-1
eu vou tomar a cartela de nimesulida de uma vez só sai de mim dor de garganta .	nimesulida	26	35	6	dor de garganta	62	76	9095	0	-1
efeitos colaterais da azitromicina di hidratada vaginite inchaço da vagina e cefaléia dor de cabeça	azitromicina	22	33	3	inchaço	57	63	7	0	-1
efeitos colaterais da azitromicina di hidratada vaginite inchaço da vagina e cefaléia dor de cabeça	azitromicina	22	33	3	vaginite	48	55	6	0	-1
efeitos colaterais da azitromicina di hidratada vaginite inchaço da vagina e cefaléia dor de cabeça	azitromicina	22	33	3	dor de cabeça	86	98	8438	0	-1
eu já não sei mais se estou sentindo cólica dor de barriga ou efeito do chá de sene .	sene	79	82	17	dor	44	46	9	1	-1
ta fala pra ela tomar dramim bromoprida que são bons pra enjoo chá de boldo as vezes funciona tbm .	bromoprida	29	38	6	enjoo	57	61	11	0	-1
a vacina de febre amarela aquela dorzinha chata no braço agr	vacina	2	7	1	febre	12	16	3	0	-1
oq fazer quando nem azitromicina resolve sua dor de garganta .	azitromicina	20	31	4	dor de garganta	45	59	11262	0	-1
amiga é naratriptana mas vc precisa ter enxaqueca pra usar sdds de vc pqp viu .	naratriptana	8	19	2	enxaqueca	40	48	7	0	-1
fui tomar azitromicina ontem p dor de garganta e acordei toda empolada deus toma conta só comigo q acontece uns trem desse .	azitromicina	10	21	2	dor de garganta	31	45	9346	0	-1
21 depressão ansiedade má alimentação omeprazol .	omeprazol	38	46	5	ansiedade	13	21	2	1	-1
21 depressão ansiedade má alimentação omeprazol .	omeprazol	38	46	5	depressão	3	11	1	1	-1
estou nessa situação só não tô sofrendo muito pq sempre tomo um nimesulida é tóxico mas para a dor uahah .	nimesulida	64	73	12	dor	95	97	18	0	-1
só paracetamol e quando vem a cólica mesmo aí tomo buscopan mas a dor nas costas nem paracetamol ajuda muito .	paracetamol	85	95	17	dor nas costas	66	79	12262	1	-1
só paracetamol e quando vem a cólica mesmo aí tomo buscopan mas a dor nas costas nem paracetamol ajuda muito .	buscopan	51	58	10	dor nas costas	66	79	12262	0	-1
só paracetamol e quando vem a cólica mesmo aí tomo buscopan mas a dor nas costas nem paracetamol ajuda muito .	paracetamol	3	13	1	dor nas costas	66	79	12262	0	-1
quero um gato mas minha irma tem glicose anal e alergia a esses amorzinhos trisde .	glicose	33	39	7	alergia	48	54	10	0	-1
fiquei 1 dia sem tomar uma das insulinas e me deu uma puta dor de cabeça dor no estômago vontade de vomitar .	insulinas	31	39	7	dor de cabeça	59	71	9228	0	-1
fiquei 1 dia sem tomar uma das insulinas e me deu uma puta dor de cabeça dor no estômago vontade de vomitar .	insulinas	31	39	7	dor	73	75	16	0	-1
muito bom torcer o pé tomar medicação e descobrir que tenho alergia a dipirona .	dipirona	70	77	13	alergia	60	66	11	1	-1
eu tomo topiramato e amitriptilina pra prevenir a enxaqueca o topiramato é moderador de humor e a amitriptilina antidepressivo .	amitriptilina	98	110	17	enxaqueca	50	58	8	1	-1
eu tomo topiramato e amitriptilina pra prevenir a enxaqueca o topiramato é moderador de humor e a amitriptilina antidepressivo .	topiramato	8	17	2	enxaqueca	50	58	8	0	-1
eu tomo topiramato e amitriptilina pra prevenir a enxaqueca o topiramato é moderador de humor e a amitriptilina antidepressivo .	topiramato	62	71	10	enxaqueca	50	58	8	1	-1
eu tomo topiramato e amitriptilina pra prevenir a enxaqueca o topiramato é moderador de humor e a amitriptilina antidepressivo .	amitriptilina	21	33	4	enxaqueca	50	58	8	0	-1
a mulher falou q a vacina de tétano dói não senti dor nenhuma .	vacina	19	24	5	dor	50	52	11	0	-1
uma vez um médico me disse que paracetamol serve muito pra quem tem alergia quem não tem há remédios melhores .	paracetamol	31	41	7	alergia	68	74	13	0	-1
tomei uma vacina que deixou meu braço em coma e não sei como vou fazer pra lavar meu cabelinho .	vacina	10	15	2	coma	41	44	8	0	-1
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	ibuprofeno	40	49	6	dor	60	62	9	0	-1
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	paracetamol	17	27	3	dor	60	62	9	0	-1
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	dipirona	29	36	4	dor	60	62	9	0	-1
dipirona alergia .	dipirona	0	7	0	alergia	9	15	1	0	-1
bom dia com muita dor e omeprazol .	omeprazol	24	32	6	dor	18	20	4	1	-1
ansiedade ingestão excessiva de cafeína nunca vou saber o que ta causando isso .	cafeína	32	38	4	ansiedade	0	8	0	1	-1
calor infernal em floripa cuidado com seus anjos casinha ao sol ou canis com telhados de zinco ou eternit	zinco	89	93	16	calor	0	4	0	1	-1
homeopatia uma vacina natural contra gripes e resfriados uma dor na garganta nariz trancado e um desconforto http	vacina	15	20	2	dor	61	63	9	0	-1
homeopatia uma vacina natural contra gripes e resfriados uma dor na garganta nariz trancado e um desconforto http	vacina	15	20	2	desconforto	97	107	16	0	-1
radiquera kkkkkkkkkkkkkkkk qualquer problema de coma alcóolico lhes apresento glicose .	glicose	78	84	9	coma	48	51	5	1	-1
várias vezes eu senti vontade de tomar toda a cartela de nortriptilina com álcool e acabar com toda a dor só nunca fiz .	álcool	75	80	13	dor	102	104	19	0	-1
