Index	Tweet
63	além de sofrer pela cólica tenho q sofrer tomando dipirona líquid .
64	aquela dipirona pra acabar com a cólica bem lets go .
65	dipirona é mais pra cólica dor de cabeça .
66	dipirona sódica pra cefaleia e vodka pro espirito ia29 .
67	e eu vou sextar com mt dor de cabeça deitada na minha cama tomando dipirona mas querendo um neosaldina https twitter com lordevoidemort status 814891448910876672 .
68	ela tava doente dipirona entrou na mente dor de cebeça bebe .
69	esqueço que tenho alergia a dipirona tomei remédio pra dor ontem e agora meus olhos estão inchados .
70	estou morrendo de dor d cabeça mas não posso toma dipirona pq tenho alergia e aq em casa não tem nenhum outro comprimido p dor .
71	eu estava com um cólica tão insuportável que eu tomei 4 comprimidos de dipirona e 1 colher de dipirona líquida dormi que é uma beleza .
72	eu ja to morrendo de alergia ai eu tomei um remedio pra parar alergia q tem dipirona na qual tenho alergia poise .
73	eu não consigo dormir com a dor no dente tomei dipirona apareceu uma cólica .
74	eu sempre fico em dúvida entre morrer de dor e tomar dipirona .
75	fingi que tava com dor de cabeça pra não sair de casa meu pai me obrigou tomar dipirona .
76	fui no shopping hoje voltei morrendo de cólica e tive que tomar dipirona mpn felipecastanhari .
77	graças a deus dipirona fazendo milagres nessa febre agr é tomar esse banho pois fedendo a doente e esperar mae chegar com meu benegripe .
78	já tomei três comprimidos pra cólica e nada agora vou tomar 70 gotas de dipirona e vou dormir até amanhã kkkk se http fb me 573bmxk9m .
79	jeff pense quantos wolfies entrarão em depressão e cometerão suicídio tomando 50 compridos de dipirona reflita teenwolfseason7please .
80	legal msm é não conseguir dormir pq tá com cólica e por falta de remédio tomar dipirona pra ver se passa dor infernal .
81	mano tomei um remédio pra febre pensando que era paracetamol porém minha alergia a dipirona está atacando olhos estão enviando .
82	nada tô c a garganta inflamada e febre p piorar tenho alergia a dipirona .
83	não tem remédio pra cólica tive que tomar dipirona e dramin pq dipirona da uns negócio no estômago .
84	não to sabendo lidar cm esse calor ainda tomei dipirona to suando igual uma mula .
85	nem dipirona tá fazendo efeito pra essa cólica do inferno .
86	passei o dia todo com essa cólica tive que toma duas dipirona agora .
87	pqp to queimando em febre e não sei cadê a caralha da dipirona .
88	qual o analgésico que ri da sua dor e desgraça r dipirona sádica 500 mg diadofarmacêutico via diego gresso .
89	quando você reclama de dor de cabeça e a pessoa vem com tem dipirona aqui em casa tá mas e aí vai vir trazer pra mim .
90	quem toma dipirona quando ta morrendo de cólica eu claro kakakaka vai adiantar nada .
91	será que dipirona também é pra cólica num aguento maaaaaas .
92	sou igual dipirona ou vc me engole ou ficar com dor .
93	tomar dipirona ou ficar com dor eis a dúvida .
94	tomei 3 paracetamol e dipirona que me deixou em coma até agora kk .
95	tomei 50 gotas de dipirona p essa merda de cólica passar e agr to morrendo de sono e não posso dormir .
96	tomei dipirona e agora estou ficando com calor .
97	tomei do dipirona daqui a pouco começo a passar mal de tanto calor .
98	tomei uma dipirona não tô aguento de tanta cólica .
99	vai passar sim passei 2 meses sofrendo de dor dente por causa do meu siso dipirona vai aliviar sua dor .
100	2 5 km de caminhada hoje como estamos com menos raiva bendita dopamina .
101	amarelito já pensou em tomar dopamina pra controlar um pouco a depressão https twitter com amarelito status 721027427909152768 .
102	dopamina sendo liberada pela dor do treino .
103	fui correr não só liberei dopamina serotonina como liberei suor mt suor .
104	meu cérebro ta com dependência de dopamina vamo trabalhar isso aí .
105	não tô acreditando em toda essa confusão por causa de um trocadilho com dopamina to rindo demais .
106	pra quem tava esses dias com o cérebro nadando em dopamina e com ansiedade logo insônia é assustador mesmo .
107	tava tentando passar um dia todo sem tomar café e sem reclamar da mãe tomando efedrina e ficar reclamando de dor mas não tenho mais forças .
108	essa epinefrina tá me deixando numa raiva mas fico mais ativo plmns .
109	queria fazer nada amanhã só morrer com minha cólica e meu butilbrometo de escopolamina .
110	deus já sabe o frio que tô passando por causa da febre e do meu desejo de passar ferro quente na cara de vcs parem de me mandar foto do sul .
111	aime garotona de 2 anos e 8 meses dependente de fluoxetina desde os 6 meses de idade por sofrer de ansiedade http fb me 2ebadix2y .
112	chapar de sibutramina e fluoxetina p entrar em coma seria uma boa .
113	é fluoxetina 1 comprido ao dia pra ansiedade .
114	e pra ansiedade fluoxetina não tá mais me ajudando e eu tomo doses cavalares dele .
115	estou a entrar em depressão por causa de farmacologia preciso de fluoxetina .
116	eu não tenho fluoxetina o bastante pra lidar com essa ansiedade de esperar coisa por correio .
117	eu tono fluoxetina não pra dormir pra ansiedade mas me ajuda a dormir .
118	fluoxetina é lindo pra isso kkkkk tomei durante um tempo pela ansiedade .
119	fluoxetina é muito usado para depressão síndrome do pânico na verdade é o prozac .
120	fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .
121	fluoxetina emagrece pq deve sair td q tu come pelo suor satã me ajuda .
122	fluoxetina n funciona porra nenhuma só te deixa com mais dor .
123	fluoxetina usada em remédios p emagrecer alguns anti depressivos a maioria dos remédios para ansiedade https twitter com eudanborges status 759492732582756353 .
124	já que eu falei sobre depressão esta música às vezes funciona melhor do que fluoxetina https youtu be d8z vn67sru http fb me 7udn9qbut .
125	lucksnake aee eu tomo oxalato pra ansiedade quando ataca forte e nitrazepam pra quando n consigo dormir fazer o q né fluoxetina larguei .
126	marciasensitiva me ajude minha filha usa fluoxetina tem pânico toc ansiedade samara pereira silva 29 02 2004 prematura 6mês oq posso fazer .
127	menina eu sou a loka q come sem fome apenas por ansiedade ando tomando fluoxetina consegui a receita indo no médico .
128	minha mae ta morrendo de medo de eu entrar em depressão mas nao deixa eu continuar tomando fluoxetina .
129	minha mãe toma diazepam pra ansiedade minha vó toma fluoxetina pra depressão e ate tem o meu cachorro que é nervoso e toma gardenal .
130	o garçom no final de rodízio entra em depressão pensa no suicídio vai na cozinha tomar fluoxetina .
131	o massa de estar com dor no estômago é que eu não posso de jeito nenhum tomar fluoxetina hoje que sacoooooooooououou .
132	saudades de quando eu tinha bads antes da depressão e o fluoxetina entrar na minha vida .
133	só quem sofre de ansiedade sabe o quanto aquela sensação de borboletas no estomago é a pior coisa do mundo não tem fluoxetina que ajude .
134	tbm tenho esse fator porém pela depressão eu tomo fluoxetina durante o dia e clonazepan pra dormir n sempre só nas crise msm .
135	thaygarbone amg eu tomo por conta de ansiedade aí tem receita médica mas rivotril e fluoxetina são bons .
136	tomando remédio por causa do pânico e impressionada com a mágica q é essa fluoxetina até a cólica e a tpm diminuiu .
137	vou tomar umas fluoxetina porque tô entrando em depressão aqui .
138	100or glicose 289 pqp deve ser por isso o edema nos pés e tonturas constantes .
139	11 5 20 24 marcely vai todo mundo entrar em coma a alcoólico sexta haha 11 5 20 25 marcely aqui não tem glicose nao alguem me segura .
140	23 anos término da faculdade sofrendo de ansiedade e com a pressão e a glicose alta prazer rodrigo pereira .
141	583 eu sinto tontura quando estou com sono pressão baixa glicose baixa ou glicose alta .
142	a produção dr glicose leva à morte geraldo 2016 .
143	a zoe faz muita glicose anal já to ficando com raiva já .
144	achei q no domingo iria entrar em coma alcoolico mas babou só de raiva amanhã vou me dopar de glicose .
145	acho que tem a ver com o negócio que minha glicose abaixa muito fico com dor de cabeça e muito sono .
146	aeliminacao já deram glicose pra ela ela tá em coma alcoolico .
147	amanhã só paro de beber depois que entrar em coma alcoolico e tiver que tomar glicose na veia .
148	ando bebendo muito suco nesse calor porém voltarei para a aguinha básica porque minha glicose tá alta frutose me derrubando diabetes .
149	bebi tantas coisas hj e acho q tem vodka aqui se eu bao vomitar tem grande chance de eu yomar glicose ou eu entrar em coma alccolico .
150	cara sábado minha meta é entrar em coma alcoólico ou tomar mt glicose na veia .
151	chegar em casa e encontrar mamãe com febre dor no corpo glicose alta corta meu coração em um nível que meu deus .
152	coca cola tem gosto de morte com superdosagem de glicose e xarope .
153	começo do mês que vem eu vou numa dessas lojas de doce comprar bastante glicose pra botar no sangue e não entrar em coma alcoólico .
154	comi tanto chocolate q vou entrar em coma de glicose .
155	crazyandweak é miga é da festa pro coma os famigerado 40 min de glicose ne non .
156	da uma raiva de conversar com as pessoas e elas vem com glicose anal e drama vai procurar um psicólogo e depois fala comigo .
157	deveria estar dormindo mas eu estou com sono e eufórico ao mesmo tempo uma leve crise de ansiedade que fez minha glicose subir .
158	drawmuky caioscholze ninguém em coma em qqqq leva a glicose junto cgiyoftidcupgc .
159	edsonjr2301 fui parar no hospital e a enfermeira aplicou glicose na veia pensando q eu tava em coma alcolico .
160	em busca de métodos de colocar a maior quantidade possível de glicose no sangue tenta sobrevive a uma cólica sem remédio aqui em casa tá ó .
161	esse ano bebi algumas 10 vezes por motivos de glicose fácil no rolê ou calor infernal foi um ano intenso e velho a vontade voltou absurdo .
162	estão me entupindo de glicose agorinha entro em coma diabético .
163	estou às vésperas de fazer o maldito exame de glicose estou com raiva .
164	eu costumo ficar com dor de cabeça mas até que sai do cinema deboas acho que tava bem alimentado e cheio de glicose no corpo .
165	ficar estudando sobre a glicose galactose já da dor de barriga .
166	glicose alta morrendo de dor de cabeça .
167	glicose da minha mãe é muito 8 ou 80 tncc uma hora quase ela entra em coma outra quase dando hipoglicemia .
168	glicose e pressão alta pelo menos não é o coração a dor no peito ufa .
169	hj eu vo mete o famigerado só volto pra casa em coma tomando glicose na veia se a deusa quiser .
170	liguei pra minha mãe pra falar que tava morrendo de tontura e agora a linda quer medir minha glicose .
171	mano n entendo isso quando eu vejo me da arrepios e a glicose aumenta credo https twitter com picscomida status 759830340986871808 .
172	meu colega entro em coma alcoólico teve q toma 3 injeções d glicose o coração dele tava quase parando e chego n sala dizendo eu sou foda .
173	michgiglio nossa sim por favor quero morrer de coma de glicose cobrarei apenas me espere .
174	minha glicose deve estar na morte .
175	minha glicose fica abaixando com esse calor e eu fico passando mal toda hr .
176	minha glicose já caiu quase desmaiei tô morrendo de dor de cabeça td por causa desse show .
177	na real me lembra um remédio pra febre que eu detestava ou algo que tem textura de lama e sabor de xarope de glicose .
178	nesse calor um açaí é super bem vindo né e se for sem xarope de glicose melhor ainda é super fácil de fazer http fb me 4oynfwidm .
179	nossa eu fui ali só pra pegar um exame de glicose e to morrendo de calor pqp .
180	notjorge eu tava em coma por causa da cantina quando acordei ele tava tentando enfiar uma agulha em mim pq ele ia injetar glicose .
181	nunca vou esquecer daquele quase morte quando eu fui fazer exame de sangue e minha glicose deu muito alterada .
182	o diabetes é uma doença crônica que se caracteriza por hiperglicemia glicose elevada no sangue causada pela http fb me 5x1a4ajvv .
183	o povo entra em coma alcoólico e acha que um chocolatezinho resolve que ir pra glicose endovenosa tá tudo certo .
184	ontem voltei do jogo explodindo de dor de cabeça disseram q tomar água com uma colher de glicose pura resolve mas onde encontro p comprar .
185	pelo menos nunca paguei esse micao de entra em coma alcoolico e ter q toma glicose na veia amém .
186	por mais que eu coma só salada cheik não jante faço hidro e pilates não emagreco 1 grama mas minha glicose está normal era o q queria .
187	pra que namoradinho se tenho mainha e painho p chegar c alto teor de glicose pra acabar c minha cólica .
188	preciso dormir tomei uma caixa de leite condensado minha glicose ta mt alta agora to hiperativa e com raiva e isso não é bom .
189	prova de amor entra em coma alcoolico que eu entro junto com vc unidos na glicose .
190	quase entrei em coma agora há pouco por causa da hipoglicemia minha glicose foi a 40 .
191	quase morri de dor pra fazer o teste de glicose .
192	queria comer chocolate até a morte maaas tenho que controlar minha glicose pra doar sangue amanhã .
193	queria tomar todas cachaças a ponto de entrar em coma alcoólico e tomar glicose no hospital .
194	railane f a essa altura estouno hospital em coma tomando glicose .
195	seria tipo gnt eu com falar da doença do glicose que o mosquito que rasteja meu nome é pro trabalho de artes da https twitter com imgmagcon status 704827135370928129 .
196	tava morrendo de fome e fraqueza e fiz uma bomba maravilhosa de glicose comer um sonho de valsa seguido de um laka desses pequenininhos 3 .
197	tipo entrar em coma alcóolico ir parar no hospital pra tomar glicose ou algo do tipo .
198	tomar injeção de glicose entrar em coma alcoólico várias piras .
199	tomo glicose até não querer mais e medicamento pra dor na veia rapidinho melhoraaaaaa .
200	uiahiauhaiuha pelo que eu vi tem a ver com alergia calor ou glicose qualquer uma poide se aplicar no meu caso .
201	um dia depois de tomar uma seringa imensa de buscopan glicose na veia eu sigo normalmente com minha dor .
202	um salve so para a rapaziada q ja tomou glicose na veia e quase entrou em coma alcoolico kkk .
203	vc tá sem nada no estômago se entope de alimento com glicose e depois morre de tontura adoro ter uns problema mesmo .
204	venlafaxina x haloperidol http www interacaomedicamentosa com 2016 02 venlafaxina x haloperidol html spref tw farmacia saude farmacoterapia depressao ansiedade serotonina .
205	daniloarock cloridrato de hidroxizina é pra alergia mas da um efeito de sedativo menino parado louquíssima .
206	0 5 é a dosagem mínima se você não tem alergia a ibuprofeno amanhã você vai acordar sem dor .
207	a melhor coisa a se fazer quando está com cólica é colocar uma bolsa de gelo tomar ibuprofeno e dormir .
208	a pessoa ta quase chorando de tanta cólica o ibuprofeno não faz efeito faz o que deita no chão da sala da mãe e coloca os pes pra cima .
209	a princesinha aqui esqueceu de comprar ibuprofeno e acordou com cólica 3 am .
210	acabo de passar em farmacologia e resolvo tomar 400 mg de ibuprofeno pra cólica de estômago vazio dois dias depois de ter uma lesão gástrica .
211	aí vc tá morrendo de cólica é o milagre era tomar ibuprofeno mas vc vai em um nefro com seu pai e ele fala q antiflamatorios acabam os rins .
212	alguém me diz se ibuprofeno serve pra dor de cabeça eu to morrendo e só tenho isso .
213	blodornbaby nimesulida ibuprofeno tem gosto de morte .
214	cê acredita que ponstan não faz cócegas na dor só me deixa grogue aqui só ibuprofeno salva .
215	com febre e cólica e vou ter q tomar o ibuprofeno gotas do meu irmão q a dosagem n faz nem cosquinha em mim pq n acho o comprimido .
216	comecei a ficar com dor de cabeça por causa do álcool meti um ibuprofeno nunca me senti tão bem na vida .
217	eu morrendo de dor de estomago e a pessoa me empurra um ibuprofeno quer me matar .
218	eu tava c uma dor insuportável na boca por causa de duas malditas aftas pinguei ibuprofeno e funcionou de vdd jsjsddjdjdjd fiquei boba né .
219	eu tava com dor de cabeça aí não tinha comprimido aí eu tomei um vidrinho daquele de ibuprofeno em gotas será q eu vou morrer .
220	eu tenho o ibuprofeno eu acho ele é de dor etc é bom pra cólica .
221	eu tinha que ser garota propaganda do ibuprofeno cr tomo ibuprofeno pra dor de cabeça cólica febre alergia tudo kkkkkkkk .
222	eu tô morrendo de cólica é minha mãe não quer deixar eu tomar o remédio pq ela viu em algum lugar que ibuprofeno tá fazendo mal .
223	eu tô sozinha em casa e tô morrendo de dor de garganta e de cabeça minha mãe falou pra eu tomar ibuprofeno .
224	faz uma semana que tô com uma dor insuportável no pescoço tá foda vou apelar pro ibuprofeno acho que é assim que se escreve uma pancada .
225	gente não consigo fazer nada com essa dor alguem me dá um ibuprofeno .
226	hoje foi o ibuprofeno que me salvou da dor de cabeça naramig não funcionou .
227	ibuprofeno de 6 6 hrs serve pra dor e é antiinflamatório vai ajudar bastante .
228	ibuprofeno é bom pra cólica .
229	ibuprofeno é pra dor de cabeça .
230	ibuprofeno eu não conhecia estou com a mesma dor de cabeça fudida desde ontem vou tentar combinar os dois obrigada .
231	lá se foram as doses de morfina dolantina pra dor ibuprofeno pra febre e histamina pra coceira pic twitter com dv9oshwzqo .
232	meninas q estão com alergia a remédio e acharam q ibuprofeno n entrava na alergia e se foderam .
233	na farmácia mesmo nem precisa de receita e tem o ibuprofeno 400 mg que é mt bom também pra cólica forte .
234	o anticoncepcional sim o ibuprofeno não porque é remédio pra dor e febre mesmo .
235	o plano era aproveitar a dor de cabeça para dormir mas eu tomei um comprimido de ibuprofeno e estou acordada sem dor .
236	obrigada ibuprofeno por conseguir fazer eu dormir com essa cólica absurda .
237	obrigado zeavy consegues juntar a isso uma aspirina ou algo com ibuprofeno tou aqui com uma dor marada é a velhice a chegar .
238	para dor vc pode ir na farmácia e comprar ibuprofeno tenta pingar próximo do dente que ajuda muito .
239	paracetamol amiga ibuprofeno é mais pra febre e inflamação .
240	pra cólica ibuprofeno era o unico que me ajudava nas minhas .
241	pra completar minhas alegrias tô com enxaqueca e não tem ibuprofeno em casa .
242	pra que eu vou querer a poha de um ibuprofeno não tô com dor de cabeça merda .
243	quando nem o ibuprofeno acaba com a dor é sinal que a coisa tá feia .
244	scr que dó quando eu to com cólica ou qualquer tipo de dor durante esses dias eu tomo ibuprofeno o negócio é mágico .
245	se eu fosse mulher ia tá fudido a maioria dos remédios pra cólica tem base dipirona ibuprofeno e eu sou alérgico .
246	se eu não tivesse tomado azitromicina que é porreta e ibuprofeno eu ia estar morrendo de dor até agora .
247	tem vez que minha loucura da certo estava com uma dor bruta de cabeça e tomei 2 ibuprofeno de uma vez deu bom viu kkkk .
248	teu olho tá com uma inflamação chuchu faz compressa de água quente e toma ibuprofeno que vai passar e aliviar a dor rapidinho .
249	to perguntando pq na última enxaqueca tomei um paracetamol e um ibuprofeno com um intervalo de 40 minutos e fiquei desmaiando depois .
250	to sentindo dor de cabeça desde quinta e não há ibuprofeno que resolva eu não aguento mais .
251	toma ibuprofeno é o melhor remedio pra dor de dente .
252	toma ibuprofeno ibupril tbm tava com dor tomei e logo passou .
253	toma uma dipirona paracetamol se tive c dor no corpo toma ibuprofeno to com saudades .
254	tomar ibuprofeno ou benegripe passar a noite com dor ou acordar mais gripada ainda .
255	você nem sonha mas às vezes eu tenho vontade de te encher de ibuprofeno pra você morrer de alergia .
256	vou tomar mais um comprimido pq n tô aguentando de dor no dente cabeça coluna perna espero não ter uma overdose de ibuprofeno .
257	será que consigo vender meus imipramina tem alguém na depressão ou vive com ansiedade ai vendo baratin .
258	como q faz qd vce tá com uma dor intensa no peito e aparentemente é efeito colateral do isotretinoína .
259	eu to me contorcendo de dor de cabeça não sei se é por isotretinoína ou por causa dr ventilador .
260	tomando isotretinoína pela 4a vez na vida que merda a vida não pode comer não pode beber depressão o que faz pra animar acne .
261	lidocaína salvou minha vida eu tava gritando de dor .
262	minha cara ta inchada de tanto chorar de dor meus comprimidos pra dor acabaram e meu lidocaína também .
263	minha orelha ta até doendo mas nem tanto pq passei lidocaína mas quando o efeito passar vou nem conseguir dormir de tanta dor .
264	nossa amiga minha cabeça parece que vai explodir e a dor de ouvido não passa nem com lidocaína aí eu quase cai de tontura .
265	que dor absurda é tatuar o peito sem usar xilocaína lidocaína qualquer outro anestésico .
266	esse lítio pode até me salvar da depressão mas só ler a bula já deu crise de ansiedade .
267	eu to com vontade de encher meu cu de lítio e entrar em coma .
268	lítio para os editores da isto é e folha de s paulo depressão profunda causou descontrole verbal e à incontinência oratória peçam ao serra .
269	tomo sertralina 100 mg pra ansiedade generalizada e vou começar com lítio pra estabilizar o humor .
270	ai o remédio pra dor me deu reação alérgica moral da história acabei de tomar loratadina .
271	cheguei a 38 4 de febre tomei o terceiro loratadina e 1dipirona apaguei mas acordei diversas vezes com falta de ar pensei que ia morrer .
272	cheguei em casa comecei a estudar a rinite atacou tomei loratadina to caindo de sono q morte .
273	eu vou ter que encher o meu cy com loratadina pois eu estou morrendo de alergia .
274	finalmente primavera época de andar pelado por causa do calor e fazer estoque de loratadina e celestamine .
275	isso sem contar o tempo de montagem sujeira e limpeza do ambiente e a loratadina pra lidar com a alergia ao pó da madeira .
276	operacaobetalab cientistas criam pulseira para diabéticos que mede glicose no sangue via suor http bit ly 1xuen7a sdv rt. opinionmarciana ay pero no hay que leer los folletos de los medicamentos hasta la loratadina puede causar hemorragia y muerte según eso .
277	tudo que eu queria pra essa sexta era ficar em casa com alergia tomando loratadina .
278	era apenas uma dor de cabeça dizia ele buscopan na veia voltarem 2 captopril uma hora depois losartana e mais http fb me 4wqdxcsyy .
279	a vida eu queria ser o porco pq o porco ta la curtindo a praia eu mesna to aq derretendo nesse calor .
280	eu mesna tou mal do calor neste momento .
281	furoato de mometasona tá em falta todo mundo tá com alergia na pele 3 farmácia e nada da pomada .
282	essa sou eu no calor vivendo de loratadina e montelucaste .
283	cadê a morfina aquela pra acabar com minha dor .
284	caralho como eu to com o corpo todo doloridooo vcs n tem noção queria umas morfina pra ficar em coma por uns dias até passar a dor mds .
285	com essa cólica eu começo a entender viciados em morfina .
286	é verdade a cólica pode ser muito intensa teve paciente que precisei internar e usou morfina é raro mas existe .
287	ela sofre de uma doença psicotica por conta da morfina metafetaminas e outras coisas que ingere e também depressão https twitter com caganissopt status 758602139916705793 .
288	essa do nariz é muito fatal fico em coma logo e quero morfina .
289	eu preciso dr uma dose dr morfina pra parar com minha cólica alguém sabe onde encontro de graça tô sem dinheiro i need help bem rápido .
290	foi assim q vc se curou da sua dependência de morfina .
291	hipnoterapia eu sofria de depressão profunda e dor crônica com morfina http youtu be 5ldbefdm4dc a via youtube .
292	linda você é minha morfina vem e acaba com essa dor .
293	mina você é minha morfina vem acabar com essa dor .
294	morfina devia ser liberado p mulheres com cólica .
295	na próxima vez que eu for comprar remédio pra cólica eu vou falar pro farmacêutico moço namoralzinho injeta morfina na minha veia plmds .
296	não deveria ter acordado mas estava quase asfixiando de tanta alergia acordei pra colocar morfina na garganta e nariz .
297	nem morfina acabou com a minha cólica .
298	pensando que quando eu for ter um filho terão de me dar morfina pq se só com cólica eu já tô desse jeito imagina .
299	se não joga por um desconforto usam o exemplo do reinaldo q jogava na base d morfina se joga fala q o cara é chinelinho .
300	um dia você toma morfina pq tá morrendo de cólica no outro sofre as consequências dessa maldita medicação .
301	vc é minha morfina vem acaba com essa dor .
302	vem umas dose de morfina ai pfvr q viver com essa cólica nao da .
303	você é minha morfina vem acabar com essa dor .
304	mupirocina vai acabar com a coceira e com inchaço .
305	gostei de um vídeo youtube http youtu be lw5ofiub48i abaixas doses de naltrexona uma nova terapia para a doença de crohn e a. gostei de um vídeo youtube http youtu be qu pod9je0w ao óleo tão eficaz para ansiedade quanto lorazepam andré ferraz aromaterapia .
