Sentença	 Span_1 	 Span_2 
fome típica de quem tomou um goró na noite anterior se não rolar coma um bolovo com groselha gordura carboidrato e glicose .	glicose	fome
fome típica de quem tomou um goró na noite anterior se não rolar coma um bolovo com groselha gordura carboidrato e glicose .	glicose	coma
caramba alergia a paracetamol .	paracetamol	alergia
só queria um ibuprofeno pq sono e dor de cabeça ta tendo .	ibuprofeno	sono
só queria um ibuprofeno pq sono e dor de cabeça ta tendo .	ibuprofeno	dor de cabeça
hoje bateu aquela dor de cabeça que nem ibuprofeno deu jeito e já tô achando que vou morrer .	ibuprofeno	dor de cabeça
mano essa vacina ta doendo dms puta que me pariu o cara vacinou com uma arma a minha veia so pode pq ta uma dor do caralho .	vacina	dor
tô com uma dor no corpo terrível meu sonho poder tomar diclofenaco e ou naproxeno sodico .	naproxeno	dor
tô com uma dor no corpo terrível meu sonho poder tomar diclofenaco e ou naproxeno sodico .	diclofenaco	dor
estudo para saber o que é dopamina para curar vossa dor que vos aniquila .	dopamina	dor
zinco do cara 2 que me da uma put dor no estômago .	zinco	dor
nunca pensei q ia gostar tanto de ter alergia a dipirona .	dipirona	alergia
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	pro	tosse
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	pro	calor
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	pro	garganta seca
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	vacina	tosse
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	vacina	calor
calor tosse garganta seca perna berebenta nenem tomou vacina o governo temer nao da um minuto de descanso pro pobre .	vacina	garganta seca
quero ser seu enjoo palpitação aperto no peito músculos em tensão um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	tremor
quero ser seu enjoo palpitação aperto no peito músculos em tensão um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	enjoo
quero ser seu enjoo palpitação aperto no peito músculos em tensão um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	palpitação
quero ser seu enjoo palpitação aperto no peito músculos em tensão um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	aperto no peito
níveis de oxitocina preveem gravidade da depressão pós parto http www bancodasaude com noticias niveis de oxitocina preveem gravidade da depressao pos parto via bancodasaude .	oxitocina	depressão
níveis de oxitocina preveem gravidade da depressão pós parto http www bancodasaude com noticias niveis de oxitocina preveem gravidade da depressao pos parto via bancodasaude .	oxitocina	depressão
to cheia de dor de cabeça bebendo água pra cacete e levantando a glicose com chocolate .	glicose	dor de cabeça
meu organismo tá tão acostumado que tive que tomar dois omeprazol em um dia por conta de uma dor de estômago .	omeprazol	dor
a cafeína surte um efeito de ansiedade e como e tbm eh uma substância que vicia o corpo e mente ficam dependente dela .	cafeína	ansiedade
omeprazol me salvando nas crises de ansiedade .	omeprazol	ansiedade
tou com uma diarreia mental que nem é bom demasiada cafeína na veia .	cafeína	diarreia
agora nandão não sene dor ne vou socar essa barriga dela ate ela voltar a sentir e não ter vindo nesse medico é toa .	sene	dor
garota que não aguenta de dor no estômago e toma omeprazol como se fosse tic tac eu mesma .	omeprazol	dor
felipe prt 3 obrigada esses unicórnios vão vir encapsulados junto com o omeprazol que vou tomar já acho que é azia msm .	omeprazol	azia
eu estava com azia mas acabou o antiácido aqui em casa daí eu lembrei que bicarbonato de sódio também é bom pra azia .	bicarbonato de sódio	azia
eu estava com azia mas acabou o antiácido aqui em casa daí eu lembrei que bicarbonato de sódio também é bom pra azia .	bicarbonato de sódio	azia
teste poderá prever se paciente em coma acorda ou não a monitoramento do consumo de glicose do cérebro é a c http bit ly 1phdiqi .	glicose	coma
sinceramente acho dificil ser melhor que bupropiona principalmente no quesito disfunção sexual .	bupropiona	disfunção sexual
ela tava doente o remédio entrou na mente dipirona desceu quente dor de cabeça bb tudo certo mais deu errado oficialmcth .	dipirona	dor de cabeça
minha glicose ta 45 logo cedo tava andando apoiando nas paredes de fraqueza dia ja começou uma merda .	glicose	fraqueza
fui na clínica tomei uma injeção de ranitidina mas continuo com dor .	ranitidina	dor
estava tomando ibuprofeno mesma coisa que nada só diminuia um pouco a intensidade da dor mas não passava por completo .	ibuprofeno	dor
eu tomei relaxante muscular e intiinflamatorio pra dor nas costas e 2 pílulas de cafeína eu estou morrendo de sono .	cafeína	sono
eu tomei relaxante muscular e intiinflamatorio pra dor nas costas e 2 pílulas de cafeína eu estou morrendo de sono .	cafeína	dor nas costas
estoque de vacina para raiva humana está baixo em mato grosso http tecnicodeagronegocio blogspot com 2016 12 estoque de vacina para raiva humana html .	vacina	raiva
estoque de vacina para raiva humana está baixo em mato grosso http tecnicodeagronegocio blogspot com 2016 12 estoque de vacina para raiva humana html .	vacina	raiva
estoque de vacina para raiva humana está baixo em mato grosso http tecnicodeagronegocio blogspot com 2016 12 estoque de vacina para raiva humana html .	vacina	raiva
estoque de vacina para raiva humana está baixo em mato grosso http tecnicodeagronegocio blogspot com 2016 12 estoque de vacina para raiva humana html .	vacina	raiva
acabei de descobrir que quase todos os remédios pra ansiedade cortam efeito de anticoncepcional assim como paracetamol e omeprazol .	paracetamol	ansiedade
acabei de descobrir que quase todos os remédios pra ansiedade cortam efeito de anticoncepcional assim como paracetamol e omeprazol .	omeprazol	ansiedade
o teu íntimo padece em dor e tu tenta esconder atras da fumaça do cigarro do prazer da nicotina embebeda se com álcool de cerveja barata .	álcool	dor
o teu íntimo padece em dor e tu tenta esconder atras da fumaça do cigarro do prazer da nicotina embebeda se com álcool de cerveja barata .	nicotina	dor
alguém me traz remédio p dor de garganta nimesulida de preferência obg de nada .	nimesulida	dor de garganta
dipirona sódica pra cefaleia e vodka pro espirito ia29 .	pro	cefaleia
dipirona sódica pra cefaleia e vodka pro espirito ia29 .	dipirona	cefaleia
a unica função do topiramato tira a dor de cabeça .	topiramato	dor de cabeça
a menina toma 80 mg de fluoxetina resolveu entornar o caneco e tá agora chorando as pitangas que tá tendo experiência de quase morte .	fluoxetina	chorando
