Index	Candidate	Drug	Drug_Char_Start	Drug_Char_end	Drug_Word_Index	Event	Event_Char_Start	Event_Char_end	Event_Word_Index	Is_inverted	LABEL
23	eu li tanto que óleo de ricino dá dor de cabeça que só de chegar perto eu ja acho q vou morrer .	óleo	16	19	4	dor de cabeça	34	46	36759	0	-1
24	uma semana tomando sibutramina e a depressão veio forte não consigo parar de chorar vou jogar esse remédio no lixo .	sibutramina	19	29	3	depressão	35	43	6	0	-1
25	mas é cada fisgada de dor se sentir dor toma nimesulida é ótimo .	nimesulida	45	54	10	dor	36	38	8	1	-1
26	mas é cada fisgada de dor se sentir dor toma nimesulida é ótimo .	nimesulida	45	54	10	dor	22	24	5	1	-1
27	eu sou tão genial que qse arranco a ureia n tem palavras p descrever a dor que eu to sentindo kk .	ureia	36	40	8	dor	71	73	15	0	-1
28	daria tudo pra ir tomar minha ranitidina na veia meu buscopan um remédio pra enjôo e dormir a quinta toda até melhorar disso .	ranitidina	30	39	6	enjôo	77	81	14	0	-1
29	daria tudo pra ir tomar minha ranitidina na veia meu buscopan um remédio pra enjôo e dormir a quinta toda até melhorar disso .	buscopan	53	60	10	enjôo	77	81	14	0	-1
30	sim sim é a motivação do dia hahaha tomo 2 paracetamol e 1 tramal pra dor e 1 omeprazol pra não passar mal .	paracetamol	43	53	10	dor	70	72	15	0	-1
31	sim sim é a motivação do dia hahaha tomo 2 paracetamol e 1 tramal pra dor e 1 omeprazol pra não passar mal .	tramal	59	64	13	dor	70	72	15	0	-1
32	sim sim é a motivação do dia hahaha tomo 2 paracetamol e 1 tramal pra dor e 1 omeprazol pra não passar mal .	omeprazol	78	86	18	dor	70	72	15	1	-1
33	consulte um dermatologista dependendo do caso ele irá prescrever isotretinoína ótimo remédio p acne .	isotretinoína	65	77	9	acne	95	98	13	0	-1
34	a dor de cabeça passou mas o remédio tinha cafeína então estamos aí né twitter .	cafeína	43	49	9	dor de cabeça	2	14	34499	1	-1
35	tem que fazer um loratadina mais forte para mim pq esse não tá dando jeito xô alergia .	loratadina	17	26	4	alergia	78	84	16	0	-1
36	minha mae mandou tomar dipirona mas de q adianta se qm ta causando essa dor é a sdde d vc .	dipirona	23	30	4	dor	72	74	14	0	-1
37	xingo mesmo não tenho nada pra fazer além de esperar pra ver se dipirona diminui um pouco a dor .	dipirona	64	71	13	dor	92	94	18	0	-1
38	isso aqui vai me dar uma azia que vai me fazer chorar a noite toda mas aqui é vida loka varios omeprazol .	omeprazol	95	103	21	azia	25	28	6	1	-1
39	mano ta tendo ensaio agora eu to tremendo de nervosa de sono de ansiedade de ter tomado muita cafeína de raiva .	cafeína	94	100	18	sono	56	59	11	1	-1
40	mano ta tendo ensaio agora eu to tremendo de nervosa de sono de ansiedade de ter tomado muita cafeína de raiva .	cafeína	94	100	18	raiva	105	109	20	0	-1
41	mano ta tendo ensaio agora eu to tremendo de nervosa de sono de ansiedade de ter tomado muita cafeína de raiva .	cafeína	94	100	18	ansiedade	64	72	13	1	-1
42	mano ta tendo ensaio agora eu to tremendo de nervosa de sono de ansiedade de ter tomado muita cafeína de raiva .	cafeína	94	100	18	tremendo	33	40	7	1	-1
43	600 mg de ibuprofeno pra ver se essa dor alivia porque o buscopan não faz mais nem cócegas .	buscopan	57	64	12	dor	37	39	8	1	-1
44	600 mg de ibuprofeno pra ver se essa dor alivia porque o buscopan não faz mais nem cócegas .	ibuprofeno	10	19	3	dor	37	39	8	0	-1
45	o cheiro é psicoativo suor que derrama sua pele excita dopamina quero alta dosagem na saliência do consumo se perde a blindagem .	dopamina	55	62	10	suor	22	25	4	1	-1
46	quando você reclama de dor de cabeça e a pessoa vem com tem dipirona aqui em casa tá mas e aí vai vir trazer pra mim .	dipirona	60	67	13	dor de cabeça	23	35	28268	1	-1
47	não eh azia a gastrite que atacou me ajuda deus não tem omeprazol em casa .	omeprazol	56	64	12	gastrite	14	21	4	1	-1
48	não eh azia a gastrite que atacou me ajuda deus não tem omeprazol em casa .	omeprazol	56	64	12	azia	7	10	2	1	-1
49	eu imaginava cheiro de suor e testosterona	testosterona	30	41	6	suor	23	26	4	1	-1
50	saudades de quando eu ia no barenco só pra tomar vacina de alergia e quando voltava tomava sorvete .	vacina	49	54	10	alergia	59	65	12	0	-1
51	ultimamente minhas mãos fluem nicotina é vicia e mesmo indo pra morte me sinto mais viva boa noite .	nicotina	30	37	4	morte	64	68	11	0	-1
52	bom é cafeína ansiedade é quase um par perfeito .	cafeína	6	12	2	ansiedade	14	22	3	0	-1
53	vest me trouxe coisas incriveis como insônia vicio em cafeína enxaqueca .	cafeína	54	60	9	enxaqueca	62	70	10	0	-1
54	vest me trouxe coisas incriveis como insônia vicio em cafeína enxaqueca .	cafeína	54	60	9	insônia	37	43	6	1	-1
55	eu tentei tomar algo mas não posso muito já que tem cafeína na maior parte dos medicamentos para dor de cabeça tsc .	cafeína	52	58	11	dor de cabeça	97	109	36936	0	-1
56	tenho que ir levar as crianças para tomar vacina mas da uma preguiça master de se arrumar nesse calor .	vacina	42	47	8	calor	96	100	18	0	-1
57	teu médico não te receitou omeprazol pede pra ele te receitar isso funciona contra azia .	omeprazol	27	35	5	azia	83	86	14	0	-1
58	ansiedade pior que cafeína .	cafeína	19	25	3	ansiedade	0	8	0	1	-1
59	hkjka morte por exaustao que lindo vou virar as noites assistindo series os dias trabalhando e nao vou dormir graças a cafeina .	cafeina	119	125	21	morte	6	10	1	1	-1
60	poesia é morfina para quem sente dor na alma .	morfina	9	15	2	dor	33	35	6	0	-1
61	pode tomar remédio pra dor de cabeça quando se toma roacutan isotretinoína google pesquisar .	isotretinoína	61	73	11	dor de cabeça	23	35	39412	1	-1
62	pode tomar remédio pra dor de cabeça quando se toma roacutan isotretinoína google pesquisar .	roacutan	52	59	10	dor de cabeça	23	35	39412	1	-1
63	a única coisa na gravidez que não me dá ansiedade é esse teste de glicose pqp demora pra cct e ainda vou morrer de fome .	glicose	66	72	14	ansiedade	40	48	9	1	-1
64	a única coisa na gravidez que não me dá ansiedade é esse teste de glicose pqp demora pra cct e ainda vou morrer de fome .	glicose	66	72	14	fome	115	118	24	0	-1
65	comi tanta bala de raiva e minha glicose	glicose	33	39	7	raiva	19	23	4	1	-1
66	ibuprofeno dor no corpo ibuprofeno	ibuprofeno	0	9	0	dor	11	13	1	0	-1
67	ibuprofeno dor no corpo ibuprofeno	ibuprofeno	24	33	4	dor	11	13	1	1	-1
68	sempre q esqueço de tomar o omeprazol fico com um enjoo horroroso .	omeprazol	28	36	6	enjoo	50	54	10	0	-1
69	o cara que vai trabalhar lá no centro de bh não vai precisar de vacina de cólera a menos que coma cocô .	vacina	64	69	14	coma	93	96	20	0	-1
70	mastiguei um dipirona pra ver se a dor some .	dipirona	13	20	2	dor	35	37	7	0	-1
71	eu me dando conta de que só hoje já tive dor de cabeça queda de glicose alergia e asma tá super bem pra 21 anos ne kkkkk .	glicose	64	70	15	dor de cabeça	41	53	36760	1	-1
72	eu me dando conta de que só hoje já tive dor de cabeça queda de glicose alergia e asma tá super bem pra 21 anos ne kkkkk .	glicose	64	70	15	asma	82	85	18	0	-1
73	eu me dando conta de que só hoje já tive dor de cabeça queda de glicose alergia e asma tá super bem pra 21 anos ne kkkkk .	glicose	64	70	15	alergia	72	78	16	0	-1
74	que comece a tortura entre gastrite e ansiedade estoque de omeprazol pra esse semestre ta pronto .	omeprazol	59	67	10	ansiedade	38	46	7	1	-1
75	que comece a tortura entre gastrite e ansiedade estoque de omeprazol pra esse semestre ta pronto .	omeprazol	59	67	10	gastrite	27	34	5	1	-1
76	ultimamente to pior q grávida comendo bebendo e dormindo sentindo enjoo mal estar e glicose descontrolada .	glicose	84	90	14	enjoo	66	70	10	1	-1
77	ibuprofeno é o melhor remédio que já me apareceu na vida um dos únicos que me tiram dor recomendo muito .	ibuprofeno	0	9	0	dor	84	86	17	0	-1
78	eu queria aquele decanoato de nandrolona no meu corpo a esse momento já evaporou nesse calor de fuder .	nandrolona	30	39	5	calor	87	91	15	0	-1
79	não entenda minha dependência da morfina como uma fraqueza ou uma perversão quando o senhor ler essas páginas rabiscadas às pressas .	morfina	33	39	5	fraqueza	50	57	8	0	-1
80	não entenda minha dependência da morfina como uma fraqueza ou uma perversão quando o senhor ler essas páginas rabiscadas às pressas .	morfina	33	39	5	dependência	18	28	3	1	-1
81	tomando ibuprofeno infantil em gotinha pra sarar minha dor de cabecinha .	ibuprofeno	8	17	1	dor	55	57	8	0	-1
82	hm é que omeprazol realmente ajuda pra dor se continuar vai no posto tomar ranitidina .	omeprazol	9	17	3	dor	39	41	7	0	-1
83	hm é que omeprazol realmente ajuda pra dor se continuar vai no posto tomar ranitidina .	ranitidina	75	84	14	dor	39	41	7	1	-1
84	bicarbonato de sódio tem um gostinho muito bom cujo qual eu chamo de gostinho da morte .	bicarbonato de sódio	0	19	35337	morte	81	85	15	0	-1
85	eu tomo oxalato pra ansiedade quando ataca forte e nitrazepam pra quando n consigo dormir fazer o q né fluoxetina larguei .	nitrazepam	51	60	9	ansiedade	20	28	4	1	-1
86	eu tomo oxalato pra ansiedade quando ataca forte e nitrazepam pra quando n consigo dormir fazer o q né fluoxetina larguei .	fluoxetina	103	112	19	ansiedade	20	28	4	1	-1
87	acho que já disse isso mas bicarbonato de sódio umas gotinhas de limão tiram a azia igual mágica .	bicarbonato de sódio	27	46	34681	azia	79	82	15	0	-1
88	ansiedade que milagre você por aqui gostaria de entrar e tomar uma xícara de café ou seria melhor sertralina .	sertralina	98	107	18	ansiedade	0	8	0	1	-1
89	a vida eu queria ser o porco pq o porco ta la curtindo a praia eu mesna to aq derretendo nesse calor .	mesna	66	70	16	calor	95	99	21	0	-1
91	tomei 3 paracetamol e dipirona que me deixou em coma até agora kk .	paracetamol	8	18	2	coma	48	51	9	0	-1
92	tomei 3 paracetamol e dipirona que me deixou em coma até agora kk .	dipirona	22	29	4	coma	48	51	9	0	-1
93	quando nem o ibuprofeno acaba com a dor é sinal que a coisa tá feia .	ibuprofeno	13	22	3	dor	36	38	7	0	-1
94	acabei de tomar uma dipirona espero que amenize a dor .	dipirona	20	27	4	dor	50	52	9	0	-1
95	a cafeína surte um efeito de ansiedade e como e tbm eh uma substância que vicia o corpo e mente ficam dependente dela .	cafeína	2	8	1	ansiedade	29	37	6	0	-1
96	tomei lax e cápsula de cafeína agora to arrumando o quarto esperando a hora da minha morte .	cafeína	23	29	5	morte	85	89	16	0	-1
97	af queria n ter mais alergia à dipirona .	dipirona	31	38	7	alergia	21	27	5	1	-1
98	eu to tomando dois diclofenaco e cefalexina os dois ajudaram p caramba na dor .	diclofenaco	19	29	4	dor	74	76	13	0	-1
99	eu to tomando dois diclofenaco e cefalexina os dois ajudaram p caramba na dor .	cefalexina	33	42	6	dor	74	76	13	0	-1
100	tem que ter fluoxetina pra aguentar tanta ansiedade .	fluoxetina	12	21	3	ansiedade	42	50	7	0	-1
101	eidama glicose anal num calor desse para né .	glicose	7	13	1	calor	24	28	4	0	-1
102	toma dipirona e alguma pastilha pra garganta febre nesse calor é fogo literalmente .	dipirona	5	12	1	febre	45	49	7	0	-1
103	toma dipirona e alguma pastilha pra garganta febre nesse calor é fogo literalmente .	dipirona	5	12	1	calor	57	61	9	0	-1
104	durante um ano vou ter que vim de floripa a joinville uma vez por semana pra aplicar uma vacina contra esse tanto de alergia que eu tenho .	vacina	89	94	18	alergia	117	123	23	0	-1
105	devia para de curar minhas exaustão emocional fisica mental com maçonha cafés tabaco fluoxetina dor lágrimas .	fluoxetina	85	94	13	dor	96	98	14	0	-1
107	meus olhos estão mega inchados não sei se de chorar ou alergia ao remédio que tomei que tinha dipirona .	dipirona	94	101	18	alergia	55	61	11	1	-1
108	q. eu desencadiei alergia a cataflan e dipirona	dipirona	39	46	7	alergia	18	24	3	1	-1
109	na realidade é coma ambulante o vagal depois q tropeçou no túmulo do assassino guevara vive à base de morfina sifu .	morfina	102	108	19	coma	15	18	3	1	-1
112	o fluoxetina pq tava me dando enjoo aí agora meu remédio pra dormir acabou e acho que to viciada pq não consigo dormir .	fluoxetina	2	11	1	enjoo	30	34	6	0	-1
113	ai ontem eu inventei de tomar aquele café solúvel juntou a cafeína e minha ansiedade e eu to tremendo até agora .	cafeína	59	65	11	ansiedade	75	83	14	0	-1
114	ai ontem eu inventei de tomar aquele café solúvel juntou a cafeína e minha ansiedade e eu to tremendo até agora .	cafeína	59	65	11	tremendo	93	100	18	0	-1
115	to tomando sibutramina partiu depressão .	sibutramina	11	21	2	depressão	30	38	4	0	-1
116	ate ter coma de glicose .	glicose	16	22	4	coma	8	11	2	1	-1
117	tomei leite gelado e ranitidina espero que pare a dor .	leite	6	10	1	dor	50	52	9	0	-1
118	tomei leite gelado e ranitidina espero que pare a dor .	ranitidina	21	30	4	dor	50	52	9	0	-1
119	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	ranitidina	46	55	9	enxaqueca	119	127	23	0	-1
120	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	ranitidina	46	55	9	dor abdominal	91	103	103	0	-1
121	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	pro	76	78	14	enxaqueca	119	127	23	0	-1
122	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	pro	76	78	14	dor abdominal	91	103	103	0	-1
123	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	buscopan	59	66	11	enxaqueca	119	127	23	0	-1
124	eu chego lá o médico passa uma intravenosa de ranitidina e buscopan que sao pro estomago e dor abdominal e eu tava com enxaqueca .	buscopan	59	66	11	dor abdominal	91	103	103	0	-1
125	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	omeprazol	25	33	4	dor de cabeça	58	70	37190	0	-1
126	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	omeprazol	25	33	4	azia	51	54	8	0	-1
127	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	dipirona	3	10	1	dor de cabeça	58	70	37190	0	-1
128	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	dipirona	3	10	1	azia	51	54	8	0	-1
129	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	neosaldina	12	21	2	dor de cabeça	58	70	37190	0	-1
130	hj dipirona neosaldina e omeprazol nd passou minha azia e dor de cabeça .	neosaldina	12	21	2	azia	51	54	8	0	-1
131	vinho e paracetamol só pra baixar a ansiedade .	paracetamol	8	18	2	ansiedade	36	44	7	0	-1
132	ajuda você a ficar concentrado e não coma mt no almoço .	concentrado	19	29	4	coma	37	40	7	0	-1
133	o remédio tira a dor e tira inchaço nimesulida eu já esqueci oq ce falou p eu fazer amiga kkk fala dnv .	nimesulida	36	45	8	dor	17	19	4	1	-1
134	o remédio tira a dor e tira inchaço nimesulida eu já esqueci oq ce falou p eu fazer amiga kkk fala dnv .	nimesulida	36	45	8	inchaço	28	34	7	1	-1
135	q fiquei viciada nesse remédio ai nimesulida nimesubal melhor pra tudo q é dor .	nimesubal	45	53	7	dor	75	77	13	0	-1
136	q fiquei viciada nesse remédio ai nimesulida nimesubal melhor pra tudo q é dor .	nimesulida	34	43	6	dor	75	77	13	0	-1
137	o cheiro é psicoativo suor que derrama sua pele excita dopamina quero alta dosagem	dopamina	55	62	10	suor	22	25	4	1	-1
138	enquanto escrevo essas rima tentando achar a vacina lembrando quando eu transava coma vaca da rua de cima .	vacina	45	50	7	coma	81	84	12	0	-1
139	só pra quem tem dor de estômago por causa do café e engole o omeprazol com café obrigada .	omeprazol	61	69	14	dor	16	18	4	1	-1
140	vamo de dipirona pra febre .	dipirona	8	15	2	febre	21	25	4	0	-1
141	luccolatraspa ja ouvi falar desse sene eu tomo chá de hibisco é o gosto da morte disfarçado .	sene	34	37	5	morte	75	79	15	0	-1
142	poderiam existir adesivos contra dor de cabeça igual aqueles de nicotina .	nicotina	64	71	10	dor de cabeça	33	45	39414	1	-1
143	eu tenho alergia a pó gatos e dipirona .	dipirona	30	37	7	alergia	9	15	2	1	-1
144	nem tomando topiramato e muita água a dor de cabeça passa pqp .	topiramato	12	21	2	dor de cabeça	38	50	38731	0	-1
145	existem duas belém a fantástica belém do calor e sol a pino e a maravilhosa belém cujos os pingos de chuva reverberam no telhado de zinco .	zinco	132	136	25	calor	41	45	7	1	-1
146	mta alucinação não há risperidona q dê conta .	risperidona	22	32	4	alucinação	4	13	1	1	-1
147	um nó na garganta descontrole tremor fluoxetina pânico e pavor .	fluoxetina	37	46	6	tremor	30	35	5	1	-1
148	cansada de ter alergia vou me render a vacina novamente .	vacina	39	44	8	alergia	15	21	3	1	-1
149	eu tomei dois paracetamol dois dipironas um outro pra dor dente e um outro que vovó toma pra dor nas pernas .	paracetamol	14	24	3	dor	93	95	18	0	-1
150	eu tomei dois paracetamol dois dipironas um outro pra dor dente e um outro que vovó toma pra dor nas pernas .	paracetamol	14	24	3	dor	54	56	9	0	-1
151	estudo indica que cafeína pode ser usada no combate à depressão pic twitter com xuinqzszfp .	cafeína	18	24	3	depressão	54	62	10	0	-1
152	tô com o estômago fodido será cafeína ansiedade nervosismo tristeza ou gastrite .	cafeína	30	36	6	ansiedade	38	46	7	0	-1
153	tô com o estômago fodido será cafeína ansiedade nervosismo tristeza ou gastrite .	cafeína	30	36	6	gastrite	71	78	11	0	-1
154	tô com o estômago fodido será cafeína ansiedade nervosismo tristeza ou gastrite .	cafeína	30	36	6	nervosismo	48	57	8	0	-1
155	dava td por um comprimidinho de nimesulida dor só ta piorando .	nimesulida	32	41	6	dor	43	45	7	0	-1
156	esqueci que tem a gabapentina para tomar cujo sabor é igual a morte e já tomei toda a pepsi .	gabapentina	18	28	4	morte	62	66	12	0	-1
157	isso causa mais dependência que nicotina pic twitter com fkiidqsjen .	nicotina	32	39	5	dependência	16	26	3	1	-1
158	níveis de glicose no sangue acima do ideal causaram 2 2 milhões de mortes ao aumentar risco de doença cardiovascular molina diabetes ms.	glicose	10	16	2	doença cardiovascular	95	115	115	0	-1
159	níveis de glicose no sangue acima do ideal causaram 2 2 milhões de mortes ao aumentar risco de doença cardiovascular molina diabetes ms.	glicose	10	16	2	diabetes	124	131	21	0	-1
162	3 dias tendo dor de estômago e acabou o omeprazol vamo chora .	omeprazol	40	48	9	dor	13	15	3	1	-1
163	um beijo pode ser dez vezes mais eficaz do que a morfina na redução da dor .	morfina	49	55	11	dez	18	20	4	1	-1
164	um beijo pode ser dez vezes mais eficaz do que a morfina na redução da dor .	morfina	49	55	11	dor	71	73	15	0	-1
165	gente tem q fazer igual eu e minha amiga tomar um omeprazol antes de beber e depois ter um coma alcoólico .	omeprazol	50	58	11	coma	91	94	19	0	-1
166	alguém me diz se ibuprofeno serve pra dor de cabeça eu to morrendo e só tenho isso .	ibuprofeno	17	26	4	dor de cabeça	38	50	34389	0	-1
167	timolol é pra dor de garganta .	timolol	0	6	0	dor de garganta	14	28	42102	0	-1
168	eu vo ensinar vcs a n tomar coisa concentrada de cafeina qndo vc tem ansiedade .	cafeina	49	55	10	ansiedade	69	77	14	0	-1
169	pela segunda vez esse mês quase todo dipirona do soro ia morrer mano alergia dessa bosta é foda .	soro	49	52	9	alergia	69	75	13	0	-1
170	pela segunda vez esse mês quase todo dipirona do soro ia morrer mano alergia dessa bosta é foda .	dipirona	37	44	7	alergia	69	75	13	0	-1
171	vou pega um paracetamol e esquenta uma agua pq to cm mt dor socorro .	agua	39	42	7	dor	56	58	12	0	-1
172	vou pega um paracetamol e esquenta uma agua pq to cm mt dor socorro .	paracetamol	12	22	3	dor	56	58	12	0	-1
173	só de pensar em me encher de eno epocler omeprazol quero me livrar dessa dor .	epocler	33	39	8	dor	73	75	14	0	-1
174	só de pensar em me encher de eno epocler omeprazol quero me livrar dessa dor .	omeprazol	41	49	9	dor	73	75	14	0	-1
175	ai pelo amor de deus parem de reclamar da páscoa e eu que em vez de chocolate to com tylenol nimesulida e xarope sabor morte .	tylenol	85	91	19	morte	119	123	24	0	-1
176	ai pelo amor de deus parem de reclamar da páscoa e eu que em vez de chocolate to com tylenol nimesulida e xarope sabor morte .	xarope	106	111	22	morte	119	123	24	0	-1
177	ai pelo amor de deus parem de reclamar da páscoa e eu que em vez de chocolate to com tylenol nimesulida e xarope sabor morte .	nimesulida	93	102	20	morte	119	123	24	0	-1
178	tomei dipirona agora ta um calor do cão .	dipirona	6	13	1	calor	27	31	5	0	-1
179	ta e eu q tenho q fazer a vacina da febre amarela amanha .	vacina	26	31	8	febre	36	40	10	0	-1
180	o paracetamol vc tem certeza que vai tirar sua dor de cabeça agora rivotril só te faz dormir e vc acorda com a depressão de qualquer forma .	rivotril	67	74	13	depressão	111	119	23	0	-1
181	o paracetamol vc tem certeza que vai tirar sua dor de cabeça agora rivotril só te faz dormir e vc acorda com a depressão de qualquer forma .	rivotril	67	74	13	dor de cabeça	47	59	41983	1	-1
182	o paracetamol vc tem certeza que vai tirar sua dor de cabeça agora rivotril só te faz dormir e vc acorda com a depressão de qualquer forma .	paracetamol	2	12	1	depressão	111	119	23	0	-1
183	o paracetamol vc tem certeza que vai tirar sua dor de cabeça agora rivotril só te faz dormir e vc acorda com a depressão de qualquer forma .	paracetamol	2	12	1	dor de cabeça	47	59	41983	0	-1
184	estudo para saber o que é dopamina para curar vossa dor que vos aniquila .	dopamina	26	33	6	dor	52	54	10	0	-1
185	se n baixa a febre vo pro plantão n posso toma paracetamol e nem ibuprofeno	ibuprofeno	65	74	14	febre	13	17	4	1	-1
188	se n baixa a febre vo pro plantão n posso toma paracetamol e nem ibuprofeno	pro	22	24	6	febre	13	17	4	1	-1
189	se n baixa a febre vo pro plantão n posso toma paracetamol e nem ibuprofeno	paracetamol	47	57	11	febre	13	17	4	1	-1
190	não tenho remédio o que a minha mãe comprou tem paracetamol e eu tenho alergia .	paracetamol	48	58	10	alergia	71	77	14	0	-1
191	oi meu omeprazol nos momentos de azia .	omeprazol	7	15	2	azia	33	36	6	0	-1
192	quero um gato mas minha irma tem glicose anal e alergia a esses amorzinhos trisde .	glicose	33	39	7	alergia	48	54	10	0	-1
193	existem outras substâncias pra disfunção erétil como a tadalafila e essa sim pode ser usada continuamente mas essa porra é mt cara .	tadalafila	55	64	8	disfunção erétil	31	46	46	1	-1
194	nessas horas dá azia toma um omeprazol café da manhã perfeito tem bisnaguinha com maionese .	omeprazol	29	37	6	azia	16	19	3	1	-1
195	que delicia essa morte com prednisona .	prednisona	27	36	5	morte	17	21	3	1	-1
196	tenho que levar minha cadela na 16 hj pra tomar a vacina mais com esse calor ta foda .	vacina	50	55	11	calor	71	75	15	0	-1
197	esqueci que tenho alergia à ibuprofeno tomei e agora todos aqui com o olho bem inchado bem tudo .	ibuprofeno	28	37	5	alergia	18	24	3	1	-1
198	tomando nimesulida para essa dor na clavícula .	nimesulida	8	17	1	dor	29	31	4	0	-1
199	acho que vou tentar esse aminofilina será que dá dor de cabeça amproblems .	aminofilina	25	35	5	dor de cabeça	49	61	34695	0	-1
200	eu queria conseguir ficar sem topiramato e não ter enxaqueca .	topiramato	30	39	5	enxaqueca	51	59	9	0	-1
202	o q será q acontece se eu tomar remédio p dor de cabeça c cafeína e calmante .	cafeína	58	64	14	dor de cabeça	42	54	34356	1	-1
203	os planos eram tomar cafeina pra estudar mas tive que tomar foi coiso pra ansiedade .	cafeina	21	27	4	ansiedade	74	82	14	0	-1
204	pois o beijo diminui os níveis de imunoglobulina e anticorpo responsável pelos sintomas da alergia no sangue .	imunoglobulina	34	47	7	alergia	91	97	14	0	-1
205	o que trouxemos para o século 21 depressão ansiedade má alimentação omeprazol by maisa abdalla .	omeprazol	68	76	11	ansiedade	43	51	8	1	-1
206	o que trouxemos para o século 21 depressão ansiedade má alimentação omeprazol by maisa abdalla .	omeprazol	68	76	11	depressão	33	41	7	1	-1
207	tomando o remedinho da alergia louvada seja loratadina .	loratadina	44	53	7	alergia	23	29	4	1	-1
208	linda você é minha morfina vem e acaba com essa dor .	morfina	19	25	4	dor	48	50	10	0	-1
209	essa ansiedade em forma de gastrite sdds omeprazol .	omeprazol	41	49	7	gastrite	27	34	5	1	-1
210	essa ansiedade em forma de gastrite sdds omeprazol .	omeprazol	41	49	7	ansiedade	5	13	1	1	-1
211	pra qualquer dor de estomago vc tem as seguintes opçoes neutralizar com bicarbonato de sodio ou produxir mais acidez por ex .	bicarbonato	72	82	12	dor	13	15	2	1	-1
212	eis que agora estou sofrendo pois tenho alergia a dipirona tbm mt bem thays .	dipirona	50	57	9	alergia	40	46	7	1	-1
213	dipirona salvando meu sono	dipirona	0	7	0	sono	22	25	3	0	-1
214	fui perguntar minha tia se ranitidina é pra dor de cabeça	ranitidina	27	36	5	tia	20	22	3	1	-1
